resp,task01,task02,task03,task04,task05,task06
123,4.0,1.0,3.0,2.0,2.0,3.0
124,4.0,3.0,1.0,1.0,2.0,1.0
125,2.0,1.0,1.0,1.0,2.0,3.0
126,4.0,4.0,4.0,1.0,3.0,1.0
127,2.0,3.0,3.0,2.0,4.0,4.0
128,4.0,1.0,2.0,3.0,2.0,4.0
129,3.0,2.0,3.0,1.0,4.0,2.0
130,3.0,2.0,2.0,1.0,4.0,4.0
131,4.0,3.0,2.0,1.0,1.0,1.0
132,4.0,1.0,4.0,4.0,1.0,1.0
133,2.0,4.0,3.0,4.0,4.0,4.0
134,4.0,1.0,2.0,4.0,4.0,4.0
135,2.0,3.0,4.0,3.0,4.0,4.0
136,1.0,1.0,4.0,2.0,4.0,1.0
137,1.0,2.0,1.0,3.0,1.0,3.0
138,3.0,2.0,4.0,1.0,1.0,3.0
139,1.0,4.0,1.0,1.0,3.0,4.0
140,4.0,3.0,4.0,2.0,2.0,1.0
141,2.0,1.0,4.0,1.0,3.0,2.0
142,2.0,2.0,3.0,2.0,1.0,3.0
143,2.0,3.0,2.0,4.0,1.0,4.0
144,1.0,2.0,3.0,4.0,4.0,1.0
145,1.0,1.0,3.0,3.0,1.0,2.0
146,1.0,1.0,4.0,1.0,3.0,2.0
147,4.0,2.0,2.0,3.0,1.0,1.0
148,2.0,4.0,4.0,4.0,4.0,3.0
149,1.0,3.0,1.0,2.0,2.0,3.0
150,3.0,3.0,1.0,1.0,1.0,1.0
151,4.0,4.0,4.0,1.0,3.0,4.0
152,3.0,4.0,1.0,1.0,1.0,2.0
153,2.0,3.0,3.0,1.0,2.0,2.0
154,2.0,4.0,4.0,1.0,2.0,3.0
155,2.0,1.0,4.0,2.0,3.0,3.0
156,1.0,1.0,4.0,1.0,3.0,2.0
157,2.0,4.0,4.0,2.0,1.0,1.0
158,2.0,4.0,3.0,1.0,2.0,3.0
159,2.0,3.0,4.0,2.0,1.0,3.0
160,3.0,4.0,2.0,1.0,2.0,4.0
161,3.0,3.0,3.0,4.0,2.0,3.0
162,2.0,1.0,4.0,1.0,2.0,4.0
163,2.0,2.0,2.0,4.0,4.0,2.0
164,3.0,2.0,1.0,2.0,4.0,2.0
165,1.0,4.0,1.0,4.0,3.0,1.0
166,1.0,3.0,3.0,2.0,3.0,3.0
167,4.0,3.0,3.0,2.0,4.0,3.0
168,2.0,2.0,4.0,3.0,3.0,4.0
169,3.0,3.0,1.0,4.0,3.0,2.0
170,4.0,2.0,1.0,2.0,2.0,1.0
171,3.0,2.0,2.0,1.0,4.0,4.0
172,3.0,1.0,3.0,1.0,1.0,2.0
173,1.0,3.0,4.0,1.0,1.0,1.0
174,4.0,3.0,1.0,2.0,4.0,2.0
175,4.0,3.0,4.0,3.0,4.0,4.0
176,4.0,4.0,4.0,2.0,4.0,3.0
177,1.0,2.0,2.0,4.0,4.0,4.0
178,4.0,1.0,4.0,3.0,4.0,1.0
179,4.0,4.0,3.0,1.0,3.0,4.0
180,4.0,1.0,3.0,3.0,3.0,1.0
181,3.0,2.0,1.0,4.0,1.0,1.0
182,4.0,2.0,1.0,4.0,1.0,3.0
183,4.0,4.0,2.0,2.0,1.0,4.0
184,2.0,2.0,3.0,3.0,1.0,2.0
185,1.0,1.0,1.0,1.0,2.0,4.0
186,1.0,4.0,3.0,2.0,2.0,2.0
187,3.0,1.0,2.0,3.0,4.0,3.0
188,3.0,4.0,1.0,1.0,1.0,1.0
189,1.0,1.0,3.0,3.0,1.0,3.0
190,3.0,3.0,2.0,3.0,2.0,4.0
191,1.0,2.0,3.0,1.0,2.0,2.0
192,1.0,4.0,4.0,4.0,1.0,2.0
193,3.0,3.0,3.0,2.0,3.0,1.0
194,2.0,2.0,3.0,4.0,1.0,2.0
195,3.0,1.0,2.0,4.0,1.0,3.0
196,3.0,3.0,2.0,4.0,3.0,4.0
197,1.0,4.0,1.0,3.0,4.0,1.0
198,1.0,1.0,1.0,1.0,2.0,3.0
199,1.0,2.0,3.0,1.0,3.0,3.0
200,1.0,2.0,3.0,2.0,1.0,1.0
201,2.0,4.0,1.0,2.0,1.0,2.0
202,2.0,2.0,2.0,3.0,4.0,1.0
203,2.0,1.0,3.0,4.0,2.0,4.0
204,4.0,2.0,2.0,2.0,4.0,3.0
205,1.0,1.0,2.0,1.0,2.0,4.0
206,2.0,2.0,1.0,3.0,2.0,4.0
207,1.0,1.0,2.0,1.0,3.0,3.0
208,2.0,1.0,3.0,3.0,1.0,2.0
209,4.0,2.0,1.0,2.0,2.0,1.0
210,1.0,1.0,2.0,1.0,1.0,3.0
211,3.0,3.0,4.0,2.0,1.0,2.0
212,4.0,1.0,4.0,2.0,1.0,4.0
213,4.0,3.0,3.0,1.0,1.0,4.0
214,3.0,2.0,2.0,2.0,2.0,3.0
215,3.0,2.0,3.0,1.0,4.0,2.0
216,4.0,3.0,4.0,3.0,2.0,4.0
217,3.0,1.0,4.0,4.0,4.0,2.0
218,2.0,3.0,4.0,3.0,4.0,3.0
219,1.0,1.0,2.0,4.0,4.0,1.0
220,4.0,2.0,1.0,4.0,1.0,3.0
221,4.0,3.0,2.0,3.0,4.0,4.0
222,4.0,2.0,3.0,3.0,4.0,4.0
223,3.0,2.0,4.0,4.0,2.0,1.0
224,2.0,1.0,4.0,3.0,1.0,4.0
225,1.0,4.0,1.0,1.0,1.0,2.0
226,1.0,4.0,4.0,2.0,2.0,1.0
227,4.0,3.0,1.0,3.0,2.0,4.0
228,1.0,1.0,2.0,1.0,1.0,4.0
229,2.0,2.0,1.0,1.0,1.0,2.0
230,2.0,4.0,1.0,3.0,1.0,2.0
231,4.0,1.0,1.0,2.0,1.0,1.0
232,4.0,4.0,3.0,4.0,2.0,1.0
233,1.0,3.0,4.0,4.0,3.0,2.0
234,2.0,2.0,2.0,3.0,4.0,3.0
235,4.0,2.0,3.0,2.0,1.0,3.0
236,3.0,2.0,3.0,1.0,3.0,3.0
237,3.0,4.0,1.0,1.0,1.0,3.0
238,4.0,1.0,1.0,1.0,3.0,1.0
239,3.0,4.0,2.0,4.0,3.0,2.0
240,1.0,3.0,2.0,2.0,2.0,1.0
241,2.0,2.0,3.0,2.0,1.0,2.0
242,4.0,3.0,3.0,2.0,1.0,1.0
243,1.0,4.0,4.0,4.0,1.0,4.0
244,4.0,1.0,1.0,1.0,3.0,4.0
245,3.0,4.0,3.0,2.0,3.0,1.0
246,4.0,1.0,1.0,4.0,3.0,3.0
247,3.0,3.0,2.0,3.0,4.0,2.0
248,1.0,4.0,3.0,2.0,4.0,4.0
249,4.0,1.0,2.0,4.0,3.0,1.0
250,4.0,4.0,4.0,4.0,4.0,1.0
251,4.0,4.0,3.0,2.0,3.0,2.0
252,3.0,2.0,1.0,2.0,4.0,3.0
253,2.0,4.0,3.0,1.0,1.0,4.0
254,1.0,1.0,3.0,4.0,4.0,2.0
255,3.0,2.0,3.0,3.0,1.0,4.0
256,4.0,4.0,4.0,4.0,1.0,1.0
257,1.0,2.0,2.0,3.0,2.0,4.0
258,1.0,1.0,3.0,4.0,3.0,1.0
259,2.0,2.0,4.0,3.0,2.0,2.0
