resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10
330,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0
331,3.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0
332,3.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0
333,2.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0
334,4.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0
335,1.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0,4.0,2.0
336,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0
337,2.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,2.0
338,1.0,1.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,4.0
339,3.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0
340,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0
341,2.0,4.0,2.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0
342,2.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0
343,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0
344,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0
345,1.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0
346,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0
347,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,4.0
348,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0
349,2.0,4.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0
350,1.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0
351,4.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,4.0,3.0
352,4.0,4.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0
353,4.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0
354,2.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,4.0,2.0
355,4.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0
356,1.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0
357,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0
358,4.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0
359,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0
360,2.0,4.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0
361,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0
362,3.0,2.0,3.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0
363,4.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0
364,4.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,4.0
365,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,2.0
366,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0
367,1.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0
368,3.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0
369,3.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0
370,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
371,4.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,3.0
372,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0
373,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0
374,1.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0
375,1.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0
376,3.0,4.0,3.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0
377,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
378,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0
379,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0
380,2.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0
381,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0
382,4.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0
383,4.0,3.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0
384,2.0,2.0,3.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0
385,1.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0
386,1.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,3.0
387,3.0,2.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0
388,4.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0
389,1.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0
390,3.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0
391,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0
392,2.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0
393,1.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,4.0
394,2.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
395,2.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0
396,3.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0
397,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0
398,4.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0
399,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0
400,3.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0
401,2.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0
402,3.0,4.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,4.0
403,2.0,1.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,3.0
404,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0
405,2.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0
406,4.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0
407,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0
408,1.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,1.0
409,1.0,2.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0
410,1.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,3.0
411,4.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0
412,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,3.0
413,4.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,3.0
414,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,4.0,2.0
415,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0
416,4.0,1.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,4.0
417,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0
418,1.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0
419,2.0,4.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,1.0
420,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0
421,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0
422,3.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0
423,1.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0
424,3.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0
425,2.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0
426,2.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0
427,4.0,1.0,4.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0
428,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0
429,1.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0
430,4.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0
431,1.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0
432,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0
433,1.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0
434,2.0,2.0,1.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0
435,2.0,4.0,4.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0
436,4.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0
437,4.0,4.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0
438,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0
439,1.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,3.0
440,1.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,4.0,2.0
441,3.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,4.0
442,4.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0
443,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0
444,2.0,4.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0
445,3.0,4.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0
446,1.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,3.0
447,2.0,2.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0
448,4.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0
449,1.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,3.0
450,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0
451,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0
452,2.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,4.0,4.0
453,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0
454,1.0,4.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0
455,4.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0
456,4.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0
457,4.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0
458,1.0,2.0,4.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0
459,3.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0
460,1.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0
461,2.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0
462,3.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0
463,3.0,3.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0
464,1.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,4.0
465,1.0,4.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0
466,3.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0
467,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0
468,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
469,2.0,3.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0
470,2.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0
471,1.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0
472,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0
473,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0
474,1.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,3.0
475,3.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,4.0,4.0
476,2.0,1.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,1.0
477,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0
478,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
479,2.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0
480,4.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0
481,3.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0
482,4.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0
483,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0
484,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0
485,1.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0
486,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0
487,3.0,1.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,4.0
488,2.0,1.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0
489,2.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0
490,4.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,4.0
491,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0
492,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
493,1.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0
494,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0
495,3.0,2.0,4.0,2.0,3.0,3.0,4.0,1.0,4.0,2.0
496,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0
497,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0
498,3.0,1.0,1.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0
499,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0
500,1.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0
501,2.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0
502,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0
503,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0
504,1.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0
505,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0
506,4.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0
507,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0
508,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0
509,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
510,1.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0
511,2.0,1.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0,1.0
512,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0
513,2.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0
514,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
515,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0
516,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0
517,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0
518,4.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0
519,1.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0
520,4.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0
521,1.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0
522,2.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0
523,1.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0
524,2.0,3.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0
525,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0
526,2.0,4.0,4.0,1.0,3.0,4.0,2.0,1.0,4.0,2.0
527,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0
528,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0
529,1.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0
530,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0
531,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0
532,2.0,2.0,3.0,4.0,1.0,4.0,2.0,1.0,2.0,3.0
533,1.0,2.0,4.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0
534,3.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0
535,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0
536,2.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,4.0
537,1.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0
538,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
539,2.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,3.0,3.0
540,4.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0
541,2.0,3.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0
542,2.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0
543,3.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0
544,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0
545,3.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,4.0,4.0
546,3.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0
547,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
548,4.0,4.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0
549,4.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,4.0
550,4.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0
551,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0
552,1.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0
553,3.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0
554,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0
555,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0
556,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0
557,2.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0
558,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0
559,1.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0
560,4.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0
561,2.0,4.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0
562,4.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0
563,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0
564,3.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0
565,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
566,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0
567,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0
568,1.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,3.0
569,4.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0
570,3.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0
571,2.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0
572,3.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0
573,3.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,1.0,2.0
574,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0
575,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0
576,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0
577,3.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0
578,4.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0
579,3.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0
580,1.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0
581,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0
582,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,1.0,3.0
583,2.0,2.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,1.0
584,4.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0
585,3.0,4.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0
586,3.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0
587,4.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0
588,2.0,4.0,1.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0
589,2.0,1.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,1.0
590,1.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0
591,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0
592,1.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0
593,2.0,4.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,3.0
594,4.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,1.0
595,2.0,4.0,3.0,1.0,3.0,4.0,2.0,4.0,4.0,1.0
596,4.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0
597,1.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0
598,1.0,4.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0
599,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,4.0,1.0
600,1.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,2.0,4.0
601,4.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,4.0,1.0
602,2.0,3.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0
603,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0
604,3.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0
605,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0
606,4.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0
607,4.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,4.0
608,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0
609,1.0,4.0,1.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0
610,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0
611,4.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0
612,4.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0
613,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
614,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0
615,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0
616,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0
617,4.0,1.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0
618,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0
619,2.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0
620,4.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0
621,1.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0
622,3.0,2.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0
623,3.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0
624,4.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,4.0,2.0
625,3.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0
626,4.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0,3.0,2.0
627,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0
628,4.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0
629,2.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0
630,1.0,4.0,2.0,1.0,3.0,4.0,2.0,4.0,4.0,3.0
631,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0
632,4.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,3.0
633,4.0,4.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0
634,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
635,1.0,4.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,1.0
636,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0
637,2.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,4.0
638,4.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0
639,2.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0
640,1.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0
641,3.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0
642,3.0,3.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0
643,2.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0
644,1.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,4.0
645,3.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0
646,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0
647,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0
648,3.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0
649,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0
650,3.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0
651,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0
652,2.0,4.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0
653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
654,4.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0
655,1.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0
656,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
657,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
658,4.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0
659,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0
660,1.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0
661,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0
