resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10
76,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,4.0
77,2.0,2.0,1.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0
78,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0
79,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0
80,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0
81,4.0,1.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0
82,1.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0
83,4.0,1.0,4.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0
84,2.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0
85,3.0,1.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,3.0
86,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,4.0
87,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0
88,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0
89,3.0,1.0,4.0,1.0,3.0,2.0,4.0,4.0,2.0,1.0
90,1.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0
91,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0
92,4.0,2.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0
93,1.0,1.0,2.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0
94,1.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0
95,3.0,4.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0
96,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0
97,1.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,1.0,2.0
98,3.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0
99,4.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0
100,1.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0
101,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0
102,4.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0
103,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
104,1.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0
105,3.0,4.0,4.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0
106,1.0,3.0,1.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0
107,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0
108,4.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0
109,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0
110,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0
111,3.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0
112,2.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0
113,2.0,1.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0
114,3.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0
115,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0
116,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
117,4.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0
118,1.0,4.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0
119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
120,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0
121,2.0,1.0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,1.0
122,3.0,3.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0
123,4.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0
124,2.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0
125,2.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0
126,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0
127,3.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0
128,3.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0,4.0
129,4.0,3.0,2.0,1.0,4.0,3.0,4.0,1.0,4.0,3.0
130,1.0,4.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0
131,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0
132,4.0,2.0,4.0,2.0,2.0,3.0,1.0,4.0,1.0,4.0
133,3.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,3.0,2.0
134,1.0,1.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0
135,4.0,3.0,3.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0
136,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0
137,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0
138,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0
139,3.0,4.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,2.0
140,4.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0
141,4.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0
142,2.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0
143,2.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0
144,2.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0
145,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0
146,3.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,1.0
147,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0
148,1.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0
149,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0
150,1.0,1.0,4.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0
151,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0
152,1.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0
153,3.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0
154,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0
155,3.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,4.0,2.0
156,2.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0
157,2.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0
158,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0
159,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0
160,1.0,2.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0
161,3.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0
162,4.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0
163,2.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,1.0
164,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,4.0
165,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0
166,3.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0
167,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0
168,4.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0
169,3.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0
170,1.0,2.0,3.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0
171,4.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0
172,2.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0
173,4.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,4.0,4.0
174,2.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,4.0
175,1.0,1.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0
176,3.0,2.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0
177,4.0,1.0,4.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0
178,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0
179,2.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0
180,1.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0
