resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10,task11,task12
278,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0
279,2.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0
280,3.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0
281,1.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0
282,4.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0
283,3.0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0
284,3.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0
285,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0
286,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0
287,1.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0
288,3.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,4.0
289,2.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0
290,3.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0
291,4.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
292,4.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0
293,2.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0
294,1.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0
295,2.0,3.0,2.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0
296,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,1.0
297,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0
298,2.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,3.0,4.0,1.0,4.0
299,1.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0
300,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0
301,1.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0
302,4.0,3.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0
303,2.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0
304,4.0,4.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0
305,3.0,4.0,1.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0
306,4.0,4.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0
307,1.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
308,2.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,2.0
309,2.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0
310,3.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,3.0
311,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,4.0,1.0
312,3.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,1.0
313,2.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0
314,1.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0
315,1.0,1.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0
316,1.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,1.0
317,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0
318,3.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0
319,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0
320,2.0,2.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0
321,2.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0
322,4.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0
323,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0
324,2.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0
325,2.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0
