resp,task01,task02,task03,task04,task05,task06,task07,task08,task09,task10,task11,task12
64,3.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0
65,4.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
66,3.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0
67,3.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0
69,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0
70,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0
71,1.0,4.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0
72,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0
73,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0
74,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0
75,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0
76,3.0,1.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0
77,1.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0
78,2.0,1.0,4.0,2.0,4.0,4.0,1.0,2.0,4.0,3.0,4.0,2.0
79,1.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0
80,3.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,2.0
81,4.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0
82,1.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0
83,1.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,1.0
84,2.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0
85,4.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0
86,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
87,3.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0
88,3.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,4.0
89,4.0,3.0,4.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,4.0
90,3.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0
91,3.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0
92,3.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0
93,1.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,1.0,3.0
94,2.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0
95,4.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0
96,3.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0
97,2.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0
98,4.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0
99,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,4.0,1.0,3.0,2.0
100,1.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0
101,3.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0
